model,log,alg,time
g-25-20-20-10-25--20-20-20--70--25--17,log,astar,73
g-25-20-20-10-25--20-20-20--70--25--18,log,astar,13897
g-25-20-20-10-25--20-20-20--70--25--19,log,astar,44
g-25-20-20-10-25--20-20-20--70--25--2,log,astar,585
g-25-20-20-10-25--20-20-20--70--25--20,log,astar,26
g-25-20-20-10-25--20-20-20--70--25--21,log,astar,4670
g-25-20-20-10-25--20-20-20--70--25--22,log,astar,2214
g-25-20-20-10-25--20-20-20--70--25--23,log,astar,278
g-25-20-20-10-25--20-20-20--70--25--24,log,astar,167
g-25-20-20-10-25--20-20-20--70--25--25,log,astar,2622
g-25-20-20-10-25--20-20-20--70--25--26,log,astar,19
g-25-20-20-10-25--20-20-20--70--25--27,log,astar,16
g-25-20-20-10-25--20-20-20--70--25--28,log,astar,150
g-25-20-20-10-25--20-20-20--70--25--29,log,astar,57470
g-25-20-20-10-25--20-20-20--70--25--3,log,astar,59181
g-25-20-20-10-25--20-20-20--70--25--30,log,astar,1423
g-25-20-20-10-25--20-20-20--70--25--4,log,astar,2180
g-25-20-20-10-25--20-20-20--70--25--5,log,astar,6619
g-25-20-20-10-25--20-20-20--70--25--6,log,astar,385
g-25-20-20-10-25--20-20-20--70--25--7,log,astar,5349
g-25-20-20-10-25--20-20-20--70--25--8,log,astar,398
g-25-20-20-10-25--20-20-20--70--25--9,log,astar,1306
g-25-20-20-10-25--20-20-20--70--50--1,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--10,log,astar,2479
g-25-20-20-10-25--20-20-20--70--50--11,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--12,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--13,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--14,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--15,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--16,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--17,log,astar,54337
g-25-20-20-10-25--20-20-20--70--50--18,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--19,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--2,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--20,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--21,log,astar,44
g-25-20-20-10-25--20-20-20--70--50--22,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--23,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--24,log,astar,58
g-25-20-20-10-25--20-20-20--70--50--25,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--26,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--27,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--28,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--29,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--3,log,astar,1658
g-25-20-20-10-25--20-20-20--70--50--30,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--4,log,astar,17153
g-25-20-20-10-25--20-20-20--70--50--5,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--6,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--7,log,astar,18909
g-25-20-20-10-25--20-20-20--70--50--8,log,astar,60000
g-25-20-20-10-25--20-20-20--70--50--9,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--1,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--10,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--11,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--12,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--13,log,astar,125
g-25-20-20-10-25--20-20-20--70--75--14,log,astar,232
g-25-20-20-10-25--20-20-20--70--75--15,log,astar,154
g-25-20-20-10-25--20-20-20--70--75--16,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--17,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--18,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--19,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--2,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--20,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--21,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--22,log,astar,49603
g-25-20-20-10-25--20-20-20--70--75--23,log,astar,505
g-25-20-20-10-25--20-20-20--70--75--24,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--25,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--26,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--27,log,astar,33718
g-25-20-20-10-25--20-20-20--70--75--28,log,astar,552
g-25-20-20-10-25--20-20-20--70--75--29,log,astar,619
g-25-20-20-10-25--20-20-20--70--75--3,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--30,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--4,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--5,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--6,log,astar,9338
g-25-20-20-10-25--20-20-20--70--75--7,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--8,log,astar,60000
g-25-20-20-10-25--20-20-20--70--75--9,log,astar,60000
g-25-20-20-30-5--20-20-20--10--25--1,log,astar,21
g-25-20-20-30-5--20-20-20--10--25--10,log,astar,2156
g-25-20-20-30-5--20-20-20--10--25--11,log,astar,292
g-25-20-20-30-5--20-20-20--10--25--12,log,astar,271
g-25-20-20-30-5--20-20-20--10--25--13,log,astar,5755
g-25-20-20-30-5--20-20-20--10--25--14,log,astar,11
g-25-20-20-30-5--20-20-20--10--25--15,log,astar,548
g-25-20-20-30-5--20-20-20--10--25--16,log,astar,30
g-25-20-20-30-5--20-20-20--10--25--17,log,astar,14
g-25-20-20-30-5--20-20-20--10--25--18,log,astar,597
g-25-20-20-30-5--20-20-20--10--25--19,log,astar,34
g-25-20-20-30-5--20-20-20--10--25--2,log,astar,551
g-25-20-20-30-5--20-20-20--10--25--20,log,astar,182
g-25-20-20-30-5--20-20-20--10--25--21,log,astar,21
g-25-20-20-30-5--20-20-20--10--25--22,log,astar,37
g-25-20-20-30-5--20-20-20--10--25--23,log,astar,1631
g-25-20-20-30-5--20-20-20--10--25--24,log,astar,11
g-25-20-20-30-5--20-20-20--10--25--25,log,astar,7
g-25-20-20-30-5--20-20-20--10--25--26,log,astar,25
g-25-20-20-30-5--20-20-20--10--25--27,log,astar,12
g-25-20-20-30-5--20-20-20--10--25--28,log,astar,83
g-25-20-20-30-5--20-20-20--10--25--29,log,astar,123
g-25-20-20-30-5--20-20-20--10--25--3,log,astar,228
g-25-20-20-30-5--20-20-20--10--25--30,log,astar,15
g-25-20-20-30-5--20-20-20--10--25--4,log,astar,14
g-25-20-20-30-5--20-20-20--10--25--5,log,astar,42
g-25-20-20-30-5--20-20-20--10--25--6,log,astar,1506
g-25-20-20-30-5--20-20-20--10--25--7,log,astar,16
g-25-20-20-30-5--20-20-20--10--25--8,log,astar,12
g-25-20-20-30-5--20-20-20--10--25--9,log,astar,49
g-25-20-20-30-5--20-20-20--10--50--1,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--10,log,astar,15
g-25-20-20-30-5--20-20-20--10--50--11,log,astar,27721
g-25-20-20-30-5--20-20-20--10--50--12,log,astar,20332
g-25-20-20-30-5--20-20-20--10--50--13,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--14,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--15,log,astar,12015
g-25-20-20-30-5--20-20-20--10--50--16,log,astar,29147
g-25-20-20-30-5--20-20-20--10--50--17,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--18,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--19,log,astar,7289
g-25-20-20-30-5--20-20-20--10--50--2,log,astar,30721
g-25-20-20-30-5--20-20-20--10--50--20,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--21,log,astar,1103
g-25-20-20-30-5--20-20-20--10--50--22,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--23,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--24,log,astar,48986
g-25-20-20-30-5--20-20-20--10--50--25,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--26,log,astar,53256
g-25-20-20-30-5--20-20-20--10--50--27,log,astar,345
g-25-20-20-30-5--20-20-20--10--50--28,log,astar,767
g-25-20-20-30-5--20-20-20--10--50--29,log,astar,7330
g-25-20-20-30-5--20-20-20--10--50--3,log,astar,27346
g-25-20-20-30-5--20-20-20--10--50--30,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--4,log,astar,60000
g-25-20-20-30-5--20-20-20--10--50--5,log,astar,161
g-25-20-20-30-5--20-20-20--10--50--6,log,astar,22
g-25-20-20-30-5--20-20-20--10--50--7,log,astar,10
g-25-20-20-30-5--20-20-20--10--50--8,log,astar,14
g-25-20-20-30-5--20-20-20--10--50--9,log,astar,14
g-25-20-20-30-5--20-20-20--10--75--1,log,astar,33
g-25-20-20-30-5--20-20-20--10--75--10,log,astar,68
g-25-20-20-30-5--20-20-20--10--75--11,log,astar,24
g-25-20-20-30-5--20-20-20--10--75--12,log,astar,44176
g-25-20-20-30-5--20-20-20--10--75--13,log,astar,14
g-25-20-20-30-5--20-20-20--10--75--14,log,astar,46
g-25-20-20-30-5--20-20-20--10--75--15,log,astar,902
g-25-20-20-30-5--20-20-20--10--75--16,log,astar,35
g-25-20-20-30-5--20-20-20--10--75--17,log,astar,29
g-25-20-20-30-5--20-20-20--10--75--18,log,astar,48
g-25-20-20-30-5--20-20-20--10--75--19,log,astar,31
g-25-20-20-30-5--20-20-20--10--75--2,log,astar,88
g-25-20-20-30-5--20-20-20--10--75--20,log,astar,16168
g-25-20-20-30-5--20-20-20--10--75--21,log,astar,35
g-25-20-20-30-5--20-20-20--10--75--22,log,astar,36
g-25-20-20-30-5--20-20-20--10--75--23,log,astar,18
g-25-20-20-30-5--20-20-20--10--75--24,log,astar,47
g-25-20-20-30-5--20-20-20--10--75--25,log,astar,1768
g-25-20-20-30-5--20-20-20--10--75--26,log,astar,60000
g-25-20-20-30-5--20-20-20--10--75--27,log,astar,34
